option,type,file
VIDEO_OMAP2_VOUT_VRFB,bool,drivers/media/platform/omap/Kconfig
BCMA_HOST_PCI,bool,drivers/bcma/Kconfig
AD7298,tristate,drivers/iio/adc/Kconfig
SATA_AHCI_PLATFORM,tristate,drivers/ata/Kconfig
IMA_DEFAULT_HASH_SHA1,bool,security/integrity/ima/Kconfig
SCSI_AHA152X,tristate,drivers/scsi/Kconfig
PCIE_MOBIVEIL_HOST,bool,drivers/pci/controller/mobiveil/Kconfig
USB_SI470X,tristate,drivers/media/radio/si470x/Kconfig
THERMAL_GOV_BANG_BANG,bool,drivers/thermal/Kconfig
X86_MINIMUM_CPU_FAMILY,integer,arch/x86/Kconfig.cpu
AD7923,tristate,drivers/iio/adc/Kconfig
SDM_MMCC_660,tristate,drivers/clk/qcom/Kconfig
SND_I2S_HI6210_I2S,tristate,sound/soc/hisilicon/Kconfig
SCSI_BFA_FC,tristate,drivers/scsi/Kconfig
CPU_FREQ_GOV_ONDEMAND,tristate,drivers/cpufreq/Kconfig
KDB_DEFAULT_ENABLE,hex,lib/Kconfig.kgdb
FTGMAC100,tristate,drivers/net/ethernet/faraday/Kconfig
SENSORS_LM95245,tristate,drivers/hwmon/Kconfig
USB_GSPCA_JL2005BCD,tristate,drivers/media/usb/gspca/Kconfig
RTC_DRV_MC13XXX,tristate,drivers/rtc/Kconfig
SPI_MPC52xx,tristate,drivers/spi/Kconfig
CM36651,tristate,drivers/iio/light/Kconfig
SERIAL_TXX9,bool,drivers/tty/serial/Kconfig
AMD_PHY,tristate,drivers/net/phy/Kconfig
FB_OMAP2_NUM_FBS,integer,drivers/video/fbdev/omap2/omapfb/Kconfig
VIDEO_CX18_ALSA,tristate,drivers/media/pci/cx18/Kconfig
AD5770R,tristate,drivers/iio/dac/Kconfig
BT_HCIBFUSB,tristate,drivers/bluetooth/Kconfig
LOONGSON1_CPUFREQ,tristate,drivers/cpufreq/Kconfig
FS_ENCRYPTION_INLINE_CRYPT,bool,fs/crypto/Kconfig
GPIO_MSC313,bool,drivers/gpio/Kconfig
MFD_CS47L24,bool,drivers/mfd/Kconfig
COMMON_CLK_SI514,tristate,drivers/clk/Kconfig
WWAN_CORE,tristate,drivers/net/wwan/Kconfig
GLOB,bool,lib/Kconfig
ARCH_WANT_LD_ORPHAN_WARN,bool,arch/Kconfig
SND_SOC_CS42L73,tristate,sound/soc/codecs/Kconfig
SND_INTEL_SOUNDWIRE_ACPI,tristate,sound/hda/Kconfig
SERIAL_UARTLITE_CONSOLE,bool,drivers/tty/serial/Kconfig
PINCTRL_PFC_SH7786,bool,drivers/pinctrl/renesas/Kconfig
PLX_HERMES,tristate,drivers/net/wireless/intersil/orinoco/Kconfig
CRYPTO_AEGIS128,tristate,crypto/Kconfig
PARPORT_AMIGA,tristate,drivers/parport/Kconfig
MTD_AFS_PARTS,tristate,drivers/mtd/parsers/Kconfig
PARAVIRT_SPINLOCKS,bool,arch/x86/Kconfig
IOMMU_IO_PGTABLE_ARMV7S_SELFTEST,bool,drivers/iommu/Kconfig
CLK_R8A7778,bool,drivers/clk/renesas/Kconfig
PINCTRL_SPEAR1340,bool,drivers/pinctrl/spear/Kconfig
CGROUP_DEVICE,bool,init/Kconfig
WL12XX,tristate,drivers/net/wireless/ti/wl12xx/Kconfig
DRM_ZYNQMP_DPSUB,tristate,drivers/gpu/drm/xlnx/Kconfig
NVMEM_BCM_OCOTP,tristate,drivers/nvmem/Kconfig
ROCKCHIP_CDN_DP,bool,drivers/gpu/drm/rockchip/Kconfig
RADIO_TIMBERDALE,tristate,drivers/media/radio/Kconfig
X86_TSC,bool,arch/x86/Kconfig.cpu
DRM_PANEL_SITRONIX_ST7703,tristate,drivers/gpu/drm/panel/Kconfig
ATM_ENI_BURST_TX_16W,bool,drivers/atm/Kconfig
104_QUAD_8,tristate,drivers/counter/Kconfig
ATH5K_TEST_CHANNELS,bool,drivers/net/wireless/ath/ath5k/Kconfig
MESON_SECURE_PM_DOMAINS,tristate,drivers/soc/amlogic/Kconfig
PPP_SYNC_TTY,tristate,drivers/net/ppp/Kconfig
ARCH_SUSPEND_POSSIBLE,bool,arch/x86/Kconfig
HID_PLANTRONICS,tristate,drivers/hid/Kconfig
MFD_TPS65090,bool,drivers/mfd/Kconfig
DA9055_WATCHDOG,tristate,drivers/watchdog/Kconfig
COMPAT_NETLINK_MESSAGES,bool,net/Kconfig
INLINE_WRITE_UNLOCK_IRQ,bool,kernel/Kconfig.locks
I2C_XLP9XX,tristate,drivers/i2c/busses/Kconfig
RC_CORE,tristate,drivers/media/rc/Kconfig
POWER_RESET_QNAP,bool,drivers/power/reset/Kconfig
TCG_VTPM_PROXY,tristate,drivers/char/tpm/Kconfig
USB_G_SERIAL,tristate,drivers/usb/gadget/legacy/Kconfig
CGROUP_WRITEBACK,bool,init/Kconfig
PSTORE_DEFAULT_KMSG_BYTES,integer,fs/pstore/Kconfig
SND_SOC_TPA6130A2,tristate,sound/soc/codecs/Kconfig
SND_SOC_TEGRA_ALC5632,tristate,sound/soc/tegra/Kconfig
PINCTRL_SUN8I_A33,bool,drivers/pinctrl/sunxi/Kconfig
MISC_ALCOR_PCI,tristate,drivers/misc/cardreader/Kconfig
MAC80211_STA_HASH_MAX_SIZE,integer,net/mac80211/Kconfig
KERNEL_BZIP2,bool,init/Kconfig
LEDS_PCA955X,tristate,drivers/leds/Kconfig
GENERIC_LIB_CMPDI2,bool,lib/Kconfig
NLS_MAC_TURKISH,tristate,fs/nls/Kconfig
IXGBE_IPSEC,bool,drivers/net/ethernet/intel/Kconfig
IP_VS_NQ,tristate,net/netfilter/ipvs/Kconfig
SND_SOC_DM365_VOICE_CODEC_MODULE,tristate,sound/soc/ti/Kconfig
DVB_DRXD,tristate,drivers/media/dvb-frontends/Kconfig
IR_IMON_DECODER,tristate,drivers/media/rc/Kconfig
LOGO_MAC_CLUT224,bool,drivers/video/logo/Kconfig
COMMON_CLK_MT8173,bool,drivers/clk/mediatek/Kconfig
INFINIBAND_QEDR,tristate,drivers/infiniband/hw/qedr/Kconfig
SENSORS_LTC4245,tristate,drivers/hwmon/Kconfig
APM_CPU_IDLE,bool,arch/x86/Kconfig
CRYPTO_DEV_FSL_CAAM_DEBUG,bool,drivers/crypto/caam/Kconfig
REGULATOR_BD70528,tristate,drivers/regulator/Kconfig
HAVE_ARCH_MMAP_RND_BITS,bool,arch/Kconfig
TCG_TIS_CORE,tristate,drivers/char/tpm/Kconfig
HID_SPEEDLINK,tristate,drivers/hid/Kconfig
TEST_VMALLOC,tristate,lib/Kconfig.debug
SURFACE_AGGREGATOR_ERROR_INJECTION,bool,drivers/platform/surface/aggregator/Kconfig
SPEAKUP_SYNTH_APOLLO,tristate,drivers/accessibility/speakup/Kconfig
HIBERNATION,bool,kernel/power/Kconfig
VIDEO_ATOMISP_OV5693,tristate,drivers/staging/media/atomisp/i2c/Kconfig
BLK_DEV_NBD,tristate,drivers/block/Kconfig
NTB_EPF,tristate,drivers/ntb/hw/epf/Kconfig
PNPACPI,bool,drivers/pnp/pnpacpi/Kconfig
DRM_EXYNOS_SCALER,bool,drivers/gpu/drm/exynos/Kconfig
PHY_XILINX_ZYNQMP,tristate,drivers/phy/xilinx/Kconfig
SH_TIMER_CMT,bool,drivers/clocksource/Kconfig
